0.0	1.0	4.32	-3.98	0.88	-1.20	1974050112	Carla
1.0	1.0	4.18	-3.78	0.88	-1.20	1974050118	Carla
2.0	1.0	4.00	-3.62	0.88	-1.20	1974050200	Carla
3.0	1.0	3.78	-3.46	0.76	-0.80	1974050206	Carla
4.0	1.0	3.58	-3.38	0.72	-0.60	1974050212	Carla
5.0	1.0	3.46	-3.28	0.64	-0.60	1974050218	Carla
6.0	1.0	3.34	-3.16	0.56	-0.60	1974050300	Carla
7.0	1.0	3.20	-3.06	0.60	-0.60	1974050306	Carla
8.0	1.0	3.06	-2.94	0.60	-0.60	1974050312	Carla
9.0	1.0	2.94	-2.84	0.60	-0.60	1974050318	Carla
10.0	1.0	2.88	-2.78	0.50	-0.40	1974050400	Carla
11.0	1.0	2.80	-2.68	0.36	-0.20	1974050406	Carla
12.0	1.0	2.76	-2.54	0.30	-0.20	1974050412	Carla
13.0	1.0	2.74	-2.44	0.20	0.00	1974050418	Carla
14.0	1.0	2.74	-2.26	0.06	0.20	1974050500	Carla
15.0	1.0	2.78	-2.04	0.06	0.40	1974050506	Carla
16.0	1.0	2.88	-1.80	0.14	0.00	1974050512	Carla
17.0	1.0	3.04	-1.54	0.20	-0.20	1974050518	Carla
18.0	1.0	3.14	-1.20	0.30	-0.20	1974050600	Carla
19.0	1.0	3.26	-0.94	0.50	-0.40	1974050606	Carla
20.0	1.0	3.60	-0.62	0.50	-0.60	1974050612	Carla
21.0	1.0	4.02	-0.40	0.50	-0.60	1974050618	Carla
22.0	1.0	4.50	-0.14	0.50	-0.60	1974050700	Carla
23.0	1.0	5.20	0.16	0.60	-0.80	1974050706	Carla
24.0	1.0	5.86	0.42	0.84	-1.00	1974050712	Carla
25.0	1.0	6.66	0.66	0.92	-1.12	1974050718	Carla
26.0	1.0	7.60	0.90	0.96	-1.12	1974050800	Carla
27.0	1.0	8.62	1.18	1.00	-1.20	1974050806	Carla
28.0	1.0	9.80	1.46	1.04	-1.20	1974050812	Carla
